Τίτλος,Συγγραφέας,Τιμή,Αρχική τιμή,url
"""Δυστυχως επτωχευσαμεν!"" 1893","Ζουμπουλακης, Μιχαλης",5.00,,https://www.protoporia.gr/zoympoylakhs-mixalhs-dystyxws-eptwxeysamen-1893-metaxeirismeno-2229605852182.html
"""Η παρηγορια των επιστολων σου...""","Παναρετου, Αννιτα Π.",7.20,12.00,https://www.protoporia.gr/panaretoy-annita-p-h-parhgoria-twn-epistolwn-soy-metaxeirismeno-2229604104855.html
"""Κοβουν βαθια"" τα ονειρα","Δρακοπουλου, Στελλα",6.75,15.00,https://www.protoporia.gr/drakopoyloy-stella-koboyn-ba8ia-ta-oneira-metaxeirismeno-2229604773204.html
"""Κοινοτητες"" μεταναστων και εργασιακη αντιπροσωπευση","Φουσκας, Θεοδωρος",20.15,40.47,https://www.protoporia.gr/foyskas-8eodwros-koinothtes-metanastwn-kai-ergasiakh-antiproswpeysh-metaxeirismeno-2229600226858.html
"""Ο Αγγλος προξενος""","Μακρης-Σταικος, Πετρος",25.00,35.00,https://www.protoporia.gr/makrhs-staikos-petros-o-agglos-pro3enos-metaxeirismeno-2229604106507.html
"""Ο ιμπεριαλισμος και ολοι οι αντιδραστικοι ειναι χαρτινες τιγρεις""",Μαο Τσε Τουνγκ,6.30,7.00,https://www.protoporia.gr/mao-tse-toyngk-o-imperialismos-kai-oloi-oi-antidrastikoi-einai-xartines-tigreis-metaxeirismeno-2220001155686.html
"""Ο Πυργος της Βαβελ"" του Μαικλ Οουξοτ","Λεκκας, Παντελης",10.50,15.00,https://www.protoporia.gr/lekkas-pantelhs-o-pyrgos-ths-babel-toy-maikl-ooy3ot-metaxeirismeno-2229604994067.html
"""Ολα μπορουν να λεχθουν"" η υπαρχουν ""εκεινα που δεν λεγονται"";",Συλλογικο,5.11,12.78,https://www.protoporia.gr/tsitselikhs-kwnstantinos-ola-mporoyn-na-lex8oyn-h-yparxoyn-ekeina-poy-den-legontai-metaxeirismeno-2229609548241.html
"""Πραμα"" Ολλανδιας","Εβαν, Αγγελος",8.75,12.50,https://www.protoporia.gr/eban-aggelos-prama-ollandias-metaxeirismeno-2226185505415.html
"""Φρεσκα, νοστιμα, φτηνα... και τ αστεια μας τζαμπα!""","Μπομπολου-Κρικου, Λιλικα",3.00,10.65,https://www.protoporia.gr/mpompoloy-krikoy-lilika-freska-nostima-fthna-kai-t-asteia-mas-tzampa-metaxeirismeno-2229606679221.html
(απο)ποιωντας ηθος…,"Δελεγκος, Βαγγελης",14.80,29.54,https://www.protoporia.gr/delegkos-baggelhs-apo-poiwntas-h8os-metaxeirismeno-2229608788754.html
... UND DIE BESTE EHEFRAU VON ALLEN,KISHON EPHRAIM,10.00,,https://www.protoporia.gr/-und-die-beste-ehefrau-von-allen-metaxeirismeno-2220008512994.html
... UND PLOTZLICH WAR ES MORD,"Curtiss, Ursula",10.00,,https://www.protoporia.gr/-und-plotzlich-war-es-mord-metaxeirismeno-2220008513236.html
... ΑΠΟ ΤΟ ΣΤΟΜΑ ΤΗΣ ΠΑΛΙΑΣ REMINGTON,"Πανου, Γιαννης",8.00,10.00,https://www.protoporia.gr/panoy-giannhs-apo-to-stoma-ths-palias-remington-metaxeirismeno-2229609902302.html
... Ευδοκια με λενε! Οταν ο πονος εγινε ποιηση,"Παυλιδου, Ευα",5.94,8.48,https://www.protoporia.gr/paylidoy-eya-eydokia-me-lene-otan-o-ponos-egine-poihsh-metaxeirismeno-2229606040281.html
... Ηρωες η Αντι-ηρωες;,"Κοκκινεας, Τιτος",10.00,,https://www.protoporia.gr/kokkineas-titos-hrwes-h-anti-hrwes-metaxeirismeno-2229606679405.html
... να σε πιασω στα χερια μου...,"Σουλη, Σοφια",7.25,14.50,https://www.protoporia.gr/soylh-sofia-a-na-se-piasw-sta-xeria-moy-metaxeirismeno-2229606866683.html
... Πρασινο παντοτε το δεντρο της ζωης,"Οικονομιδης, Δημητρης Γ.",5.50,12.78,https://www.protoporia.gr/oikonomidhs-dhmhtrhs-g-prasino-pantote-to-dentro-ths-zwhs-metaxeirismeno-2221609428332.html
...ετσι χωρις λογια,"Voy, Taki",8.00,16.00,https://www.protoporia.gr/voy-taki-etsi-xwris-logia-metaxeirismeno-2226185119667.html
...η στραβα αρμενιζουμε,"Παπαθεμελης, Στελιος",7.30,9.17,https://www.protoporia.gr/papa8emelhs-stelios-h-straba-armenizoyme-metaxeirismeno-2229607623278.html
...και κατι πολυ προσωπικο,"Αλυγιζακης, Ιωσηφ",8.90,14.27,https://www.protoporia.gr/alygizakhs-iwshf-kai-kati-poly-proswpiko-metaxeirismeno-2224608973261.html
"...καλα, εσυ σκοτωθηκες νωρις (δεμ.)","Μισσιος, Χρονης",4.00,14.00,https://www.protoporia.gr/missios-xronhs-kala-esy-skotw8hkes-nwris-dem-metaxeirismeno-2229603295578.html
...Που Χριστουγεννα σημαινει...,"Βασιλακη, Πολυ",6.00,8.12,https://www.protoporia.gr/hliopoylos-baggelhs-d-poy-xristoygenna-shmainei-metaxeirismeno-2229606006577.html
04:45,"Δεγαμινιωτης, Δημητρης",11.20,16.00,https://www.protoporia.gr/degaminiwths-dhmhtrhs-04-45-metaxeirismeno-2226182070855.html
1.000.000 στιγμες,"Φουντουκλης, Μιχαλης",7.22,14.44,https://www.protoporia.gr/foyntoyklhs-mixalhs-1-000-000-stigmes-metaxeirismeno-2229609966601.html
1.089 Ενα μαγικο ταξιδι στον κοσμο των μαθηματικων,"Acheson, David",9.00,17.75,https://www.protoporia.gr/acheson-david-1-089-ena-magiko-ta3idi-ston-kosmo-twn-ma8hmatikwn-metaxeirismeno-2229609918617.html
10 επικαιροι διαλογοι με τους προσωκρατικους,"Βαμβακας, Κωνσταντινος Ι.",8.85,17.70,https://www.protoporia.gr/bambakas-kwnstantinos-i-10-epikairoi-dialogoi-me-toys-proswkratikoys-metaxeirismeno-2229604496387.html
