Τίτλος,Συγγραφέας,Τιμή,Αρχική τιμή,url
Για τι πράγμα μιλάω όταν μιλάω για το τρέξιμο ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Μουρακάμι, Χαρούκι",12.60,14.00,https://www.protoporia.gr/mourakami-xarouki-gia-ti-pragma-milao-otan-milao-gia-to-treksimo-metaxeirismeno-362846.html
Οι δωσίλογοι ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Χαραλαμπίδης, Μενέλαος",16.32,23.32,https://www.protoporia.gr/xaralampidis-menelaos-oi-dosilogoi-metaxeirismeno-634904.html
Γράμμα σ ένα παιδί που δεν γεννήθηκε ποτέ - ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Φαλάτσι, Οριάνα",8.00,10.00,https://www.protoporia.gr/falatsi-oriana-gramma-s-ena-paidi-pou-den-gennithike-pote-metaxeirismeno-414751.html
Η τελευταία μπλόφα ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Δενδρινού, Βικτώρια",8.90,18.98,https://www.protoporia.gr/varvitsioti-eleni-i-teleutaia-mplofa-metaxeirismeno-504352.html
Το κουρδιστό πουλί ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Μουρακάμι, Χαρούκι",15.00,,https://www.protoporia.gr/mourakami-xarouki-to-kourdisto-pouli-metaxeirismeno-361129.html
Το δεύτερο φύλο ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Μπωβουάρ, Σιμόν ντε",13.00,53.00,https://www.protoporia.gr/mpovouar-simon-nte-to-deutero-fulo-metaxeirismeno-361843.html
Μύθοι παρεξηγήσεις και άβολες αλήθειες της ελληνικής ιστορίας ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Παναγιωτίδης, Σταύρος",4.40,8.80,https://www.protoporia.gr/panagiotidis-stauros-muthoi-pareksigiseis-kai-avoles-alitheies-tis-ellinikis-istorias-metaxeirismeno-632706.html
Περί της εαυτού ψυχής ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Ζουργός, Ισίδωρος",11.10,22.20,https://www.protoporia.gr/zourgos-isidoros-peri-tis-eautou-psuxis-metaxeirismeno-561966.html
Το δικαστήριο των ψυχών ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Carrisi, Donato",20.00,,https://www.protoporia.gr/carrisi-donato-to-dikastirio-ton-psuxon-metaxeirismeno-382502.html
Αυτό ήταν η ζωή; Τότε άλλη μία φορά! ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Yalom, Irvin",8.80,22.00,https://www.protoporia.gr/yalom-irvin-auto-itan-i-zoi-tote-alli-mia-fora-metaxeirismeno-478623.html
